011 -- Kulutushyodykkeiden keskihintoja

Vuosi;Hyodyke;Tiedot;Vuosikeskiarvo


2004;ELINTARVIKKEET JA ALKOHOLITTOMAT JUOMAT;Keskihinta;.
2004;Pitkajyvariisi, 1 kg;Keskihinta;2.42
2004;Vehnajauhot, 2 kg;Keskihinta;.
2004;Kaurahiutaleet, 1 kg;Keskihinta;.
2004;Annospuurohiutale, 250 g;Keskihinta;.
2004;Reikaleipa, 1 kg;Keskihinta;3.09
2004;Ruisleipa, 1 kg;Keskihinta;.
2004;Ruisleipapalat, 1 kg;Keskihinta;3.85
2004;Jalkiuunileipa, 1 kg;Keskihinta;3.99
2004;Sekaleipa, 1 kg;Keskihinta;3.77
2004;Vehnaleipa, 500 g;Keskihinta;.
2004;Kauraleipa, 500 g;Keskihinta;.
2004;Sampyla, 1 kg;Keskihinta;.
2004;Patonki, 1 kg;Keskihinta;5.10
2004;Pullapitko, 1 kg;Keskihinta;5.87
2004;Taytekeksi, 350 g;Keskihinta;.
2004;Nakkileipa, 1 kg;Keskihinta;4.53
2004;Voileipakeksi, 1 kg;Keskihinta;4.01
2004;Suolakeksit, 100 g;Keskihinta;.
2004;Einespizza, 200 g;Keskihinta;.
2004;Pakastepizza, 300 g;Keskihinta;.
2004;Pakastelehtitaikina, 1 kg;Keskihinta;.
2004;Lihapiirakka, 1 kg;Keskihinta;3.20
2004;Eineshampurilainen, 100 g;Keskihinta;.
2004;Makaroni, 400 g;Keskihinta;0.33
2004;Spagetti, 500 g;Keskihinta;0.76
2004;Maustetut murot, 1 kg;Keskihinta;.
2004;Maustamattomat murot, 1 kg;Keskihinta;.
2004;Maissilastut, 1 kg;Keskihinta;.
2004;Muromysli, 500 g;Keskihinta;.
2004;Naudan paisti, 1 kg;Keskihinta;.
2004;Naudan jauheliha, 1 kg;Keskihinta;6.95
2004;Naudan ulkofile, 1 kg;Keskihinta;.
2004;Sika-nauta jauheliha, 1 kg;Keskihinta;.
2004;Naudan suikalepaisti, 1 kg;Keskihinta;9.49
2004;Porsaan leikkeet, 1 kg;Keskihinta;.
2004;Porsaan kinkku, 1 KG;Keskihinta;.
2004;Porsaan sisafile, 1 kg;Keskihinta;.
2004;Porsaan ulkofile, 1 kg;Keskihinta;8.96
2004;Porsaan suikale- ja palaliha, 1 kg;Keskihinta;.
2004;Porsaan paisti, 1 kg;Keskihinta;.
2004;Broilerin rintafile, 1 kg;Keskihinta;.
2004;Broilerin koipi-reisi, 1 kg;Keskihinta;.
2004;Kinkkuleikkele, 1 kg;Keskihinta;.
2004;Palvikinkku, 1 kg;Keskihinta;10.06
2004;Meetvursti , 1 kg;Keskihinta;12.18
2004;Keittokinkku, 1 kg;Keskihinta;.
2004;Siipikarjanlihaleikkele, 1 kg;Keskihinta;.
2004;Kinkkumakkara, 1 kg;Keskihinta;7.06
2004;Grillimakkara, 1 kg;Keskihinta;5.33
2004;Lenkkimakkara, 1 kg;Keskihinta;3.28
2004;Nakit, 1 kg;Keskihinta;.
2004;Pekoni, 170 g;Keskihinta;.
2004;Einespyorykat, 400 g;Keskihinta;.
2004;Kokolihasuikaleet, 300 g;Keskihinta;.
