011 -- Kulutushyodykkeiden keskihintoja

Vuosi;Hyodyke;Tiedot;Vuosikeskiarvo
2018;Banaani, 1 kg;Keskihinta;1.44
2018;Omena, 1 kg;Keskihinta;2.42
2018;Paaryna, 1 kg;Keskihinta;2.32
2018;Rypaleet, 1 kg;Keskihinta;5.29
2018;Vesimeloni, 1 kg;Keskihinta;.
2018;Kuivatut luumut, 200 g;Keskihinta;2.59
2018;Suolapahkinat, 200 g;Keskihinta;1.82
2018;Ananassailyke, 227 g;Keskihinta;0.79
2018;Jalkiruokakeitto, 1 l;Keskihinta;2.35
2018;Jaavuorisalaatti, 1 kg;Keskihinta;3.00
2018;Ruukkusalaatti, 1 kpl;Keskihinta;1.14
2018;Kukkakaali, 1 kg;Keskihinta;3.47
2018;Tomaatti, 1 kg;Keskihinta;3.05
2018;Kurkku, 1 kg;Keskihinta;2.68
2018;Paprika, 1 kg;Keskihinta;3.89
2018;Porkkana, 1 kg;Keskihinta;1.98
2018;Sipuli, 1 kg;Keskihinta;1.45
2018;Maustekurkut, 1 kg;Keskihinta;6.35
2018;Tomaattisailyke, 400 g;Keskihinta;0.77
2018;Ruokaperuna, 1 kg;Keskihinta;0.91
2018;Perunalastut, 350 g;Keskihinta;2.89
2018;Ranskalaiset perunat, 500 g;Keskihinta;1.20
2018;Hienosokeri, 1 kg;Keskihinta;0.83
2018;Mansikkahillo, 1 kg;Keskihinta;6.23
2018;Suklaalevy, 200 g;Keskihinta;2.13
2018;Suklaapatukka, 44 g;Keskihinta;0.65
2018;Irtomakeiset, , 1 kg;Keskihinta;7.90
2018;Makeispussi, 220 g;Keskihinta;2.06
2018;Lakritsi, 500 g;Keskihinta;3.17
2018;Ksylitolipurukumi, 110 g;Keskihinta;2.82
2018;Jaatelopaketti, 1 l;Keskihinta;1.83
2018;Jaatelotuutti, 70 g;Keskihinta;0.78
2018;Tomaattiketsuppi, 1 kg;Keskihinta;3.35
2018;Sinappi, 125 g;Keskihinta;0.91
2018;Vauvan velli, 2 dl;Keskihinta;.
2018;Vauvan purkkiruoka, 200 g;Keskihinta;1.09
2018;Eineslaatikko, 400 g;Keskihinta;2.00
2018;Tuorehiiva, 50 g;Keskihinta;.
2018;Kahvipaketti, 500 g;Keskihinta;3.95
2018;Pussitee, 50 g;Keskihinta;4.10
2018;Kaakaojuomajauhe, 500 g;Keskihinta;3.14
2018;Kivennaisvesi, 1,5 l;Keskihinta;1.72
2018;Virvoitusjuoma, 1,5 l;Keskihinta;2.20
2018;Virvoitusjuoma sokeriton, 1,5 l;Keskihinta;1.94
2018;Kolajuoma, 1,5 l;Keskihinta;.
2018;Sitruslimonadit, 1,5 l;Keskihinta;.
2018;Muut hedelmalimonadit, 1,5 l;Keskihinta;.
2018;Juomatiiviste, 1 l;Keskihinta;.
2018;Taysmehu, 1 l;Keskihinta;.
2018;Appelsiinitaysmehu, 1 l;Keskihinta;1.41
2018;Mehujuoma, 1 l;Keskihinta;1.17
2018;ALKOHOLIJUOMAT, TUPAKKA;Keskihinta;.
2018;Koskenkorvapullo, lasipullo, 0,5 l;Keskihinta;14.25
2018;Siideri, 0,5 l;Keskihinta;2.98
2018;III-olut, 12-pack, 3960 ml;Keskihinta;13.79
2018;ASUMINEN, VESI, SAHKO, KAASU JA MUUT POLTTOAINEET;Keskihinta;.
2018;Vapaarahoitteisen kaksion vuokra, eur/m2/kk;Keskihinta;.
2018;Kerrostalokaksion hinta, eur/m2;Keskihinta;.
2018;Asuntolainojen keskikorko, %;Keskihinta;.
2018;Sahko, kWh;Keskihinta;0.16
2018;Kevyt polttooljy, 1 l;Keskihinta;1.04
2018;KALUSTEET, KOTITALOUSKONEET JA YLEINEN KODINHOITO;Keskihinta;.
2018;Konetiskiaine, 1 kg;Keskihinta;8.94
2018;Pyykinpesuaine, 1 kg;Keskihinta;.
2018;Astianpesuaine, 1 l;Keskihinta;4.38
2018;Yleispuhdistusaine, 1 l;Keskihinta;2.66
2018;Tiskiharja , 1 kpl;Keskihinta;1.18
2018;Talouspaperi, 4 rll;Keskihinta;2.39
2018;Muovipussi, 1 kpl;Keskihinta;.
2018;Biojatepussi, 30 kpl;Keskihinta;4.20
2018;TERVEYS;Keskihinta;.
2018;Kondomit , 5 kpl/pakk.;Keskihinta;3.16
2018;LIIKENNE;Keskihinta;.
2018;Diesel, 1 l;Keskihinta;1.40
2018;Bensiini 95 E 10, 1 l;Keskihinta;1.52
2018;Bensiini 98 E 5, 1 l;Keskihinta;1.61
2018;Junamatka 200 km, meno-paluu;Keskihinta;.
2018;Seutulippu 30 pv, paakaupunkiseutu;Keskihinta;106.50
2018;Linja-automatka 200 km meno-paluu;Keskihinta;.
2018;Taksimatka 5 km paivalla;Keskihinta;.
2018;VIESTINTA;Keskihinta;.
2018;1 lk:n kotimaan kirje 50g;Keskihinta;1.46
2018;KULTTUURI JA VAPAA-AIKA;Keskihinta;.
2018;Koiran ruoka, 3 kg;Keskihinta;6.93
2018;Kissan ruoka, 400 g;Keskihinta;2.39
2018;Uimahallimaksu, 1 krt;Keskihinta;6.10
2018;Elokuvalippu;Keskihinta;13.02
2018;Televisiolupamaksu, VUOSI;Keskihinta;.
2018;Passikuva, 4 KUVAA;Keskihinta;.
2018;Lotto, 1 rivi;Keskihinta;1.00
2018;Vakioveikkaus, 1 rivi;Keskihinta;0.25
2018;RAVINTOLAT JA HOTELLIT;Keskihinta;.
2018;Pizza, 1 kpl;Keskihinta;11.88
2018;Hampurilainen, 1 kpl;Keskihinta;2.78
2018;Kahvi, 1 kpp;Keskihinta;2.23
2018;Virvoitusjuoma kahvilassa, 333 ml pullo;Keskihinta;.
2018;MUUT TAVARAT JA PALVELUT;Keskihinta;.
2018;Hammasharja, 1 kpl;Keskihinta;1.78
2018;Hammastahna, 50 ml;Keskihinta;1.26
2018;WC-paperi, 8 rll;Keskihinta;3.30
2018;Terveyssiteet, 20 kpl/pakk.;Keskihinta;3.27
2018;Kulutusluottojen korot, %;Keskihinta;2.98
2018;Passi;Keskihinta;51.00
2018;Naudan maksa, 1 kg;Keskihinta;.
2018;Junamatka Hki-Tre IC2-juna meno-paluu;Keskihinta;.
2017;ELINTARVIKKEET JA ALKOHOLITTOMAT JUOMAT;Keskihinta;.
2017;Pitkajyvariisi, 1 kg;Keskihinta;2.34
2017;Vehnajauhot, 2 kg;Keskihinta;1.30
2017;Kaurahiutaleet, 1 kg;Keskihinta;1.51
2017;Annospuurohiutale, 250 g;Keskihinta;2.49
2017;Reikaleipa, 1 kg;Keskihinta;.
2017;Ruisleipa, 1 kg;Keskihinta;5.01
2017;Ruisleipapalat, 1 kg;Keskihinta;3.54
2017;Jalkiuunileipa, 1 kg;Keskihinta;.
2017;Sekaleipa, 1 kg;Keskihinta;4.69
2017;Vehnaleipa, 500 g;Keskihinta;.
2017;Kauraleipa, 500 g;Keskihinta;.
2017;Sampyla, 1 kg;Keskihinta;5.55
2017;Patonki, 1 kg;Keskihinta;.
2017;Pullapitko, 1 kg;Keskihinta;6.79
2017;Taytekeksi, 350 g;Keskihinta;3.02
2017;Nakkileipa, 1 kg;Keskihinta;5.14
2017;Voileipakeksi, 1 kg;Keskihinta;.
2017;Suolakeksit, 100 g;Keskihinta;1.15
2017;Einespizza, 200 g;Keskihinta;1.15
2017;Pakastepizza, 300 g;Keskihinta;2.49
2017;Pakastelehtitaikina, 1 kg;Keskihinta;3.55
2017;Lihapiirakka, 1 kg;Keskihinta;4.74
2017;Eineshampurilainen, 100 g;Keskihinta;0.73
2017;Makaroni, 400 g;Keskihinta;0.36
2017;Spagetti, 500 g;Keskihinta;1.05
2017;Maustetut murot, 1 kg;Keskihinta;8.55
2017;Maustamattomat murot, 1 kg;Keskihinta;.
2017;Maissilastut, 1 kg;Keskihinta;.
2017;Muromysli, 500 g;Keskihinta;2.72
2017;Naudan paisti, 1 kg;Keskihinta;15.99
2017;Naudan jauheliha, 1 kg;Keskihinta;9.95
2017;Naudan ulkofile, 1 kg;Keskihinta;28.85
2017;Sika-nauta jauheliha, 1 kg;Keskihinta;5.97
2017;Naudan suikalepaisti, 1 kg;Keskihinta;.
2017;Porsaan leikkeet, 1 kg;Keskihinta;.
2017;Porsaan kinkku, 1 KG;Keskihinta;.
2017;Porsaan sisafile, 1 kg;Keskihinta;11.24
2017;Porsaan ulkofile, 1 kg;Keskihinta;9.48
2017;Porsaan suikale- ja palaliha, 1 kg;Keskihinta;8.53
2017;Porsaan paisti, 1 kg;Keskihinta;7.26
2017;Broilerin rintafile, 1 kg;Keskihinta;12.84
2017;Broilerin koipi-reisi, 1 kg;Keskihinta;2.40
2017;Kinkkuleikkele, 1 kg;Keskihinta;10.24
2017;Palvikinkku, 1 kg;Keskihinta;.
2017;Meetvursti , 1 kg;Keskihinta;15.41
2017;Keittokinkku, 1 kg;Keskihinta;.
2017;Siipikarjanlihaleikkele, 1 kg;Keskihinta;13.41
2017;Kinkkumakkara, 1 kg;Keskihinta;.
2017;Grillimakkara, 1 kg;Keskihinta;5.51
2017;Lenkkimakkara, 1 kg;Keskihinta;4.26
2017;Nakit, 1 kg;Keskihinta;7.27
2017;Pekoni, 170 g;Keskihinta;2.04
2017;Einespyorykat, 400 g;Keskihinta;1.95
2017;Kokolihasuikaleet, 300 g;Keskihinta;.
2017;Palvilihapala, 1 kg;Keskihinta;.
2017;Lihahyytelo, 1 kg;Keskihinta;.
2017;Maksamakkara, 1 kg;Keskihinta;7.68
2017;Kirjolohi, 1 kg;Keskihinta;12.22
2017;Kirjolohifile, 1 kg;Keskihinta;22.40
2017;Lohifile, 1 kg;Keskihinta;21.61
2017;Katkaravut, 1 kg;Keskihinta;.
2017;Tonnikalasailyke, 150 g;Keskihinta;1.78
2017;Sillisailyke, 150 g;Keskihinta;3.08
2017;Taysmaito, 1 l;Keskihinta;.
2017;Kevytmaito, 1 l;Keskihinta;0.99
2017;Rasvaton maito, 1 l;Keskihinta;0.89
2017;Aidinmaidonkorvike, 2 dl;Keskihinta;.
2017;Jogurttipurkki, 200 g;Keskihinta;0.51
2017;Jogurttitolkki, 1 kg;Keskihinta;1.72
2017;Edamjuusto, 1 kg;Keskihinta;8.80
2017;Emmentaljuusto, 1 kg;Keskihinta;13.75
2017;Kermajuusto, 1 kg;Keskihinta;7.81
2017;Homejuusto, 1 kg;Keskihinta;14.90
2017;Salaattijuusto, 200 g;Keskihinta;2.47
2017;Tuorejuusto, 200 g;Keskihinta;2.16
2017;Raejuusto, 200 g;Keskihinta;1.36
2017;Maitorahka, 250 g;Keskihinta;1.18
2017;Sulatejuusto, 200 g;Keskihinta;2.07
2017;Kuohukerma, 2 dl;Keskihinta;1.11
2017;Ruokakerma, 2 dl;Keskihinta;0.86
2017;Jalkiruokavanukas, 120 g;Keskihinta;0.46
2017;Jalkiruokarahka, 200 g;Keskihinta;1.20
2017;Piima, 1 l;Keskihinta;1.34
2017;Viili, 200 g;Keskihinta;0.47
2017;Laktoositon maitojuoma, 1 l;Keskihinta;1.76
2017;Soijajuoma, 1 L;Keskihinta;1.94
2017;Kananmunat, 1 kg;Keskihinta;3.27
2017;Meijerivoi , 500 g;Keskihinta;2.58
2017;Talousmargariini, 500 g;Keskihinta;1.71
2017;Rasiamargariini, 400 g;Keskihinta;1.41
2017;Kevyt rasiamargariini, 400 g;Keskihinta;1.96
2017;Rypsioljy, 1 l;Keskihinta;3.62
2017;Voi-kasvioljyseos, 400 g;Keskihinta;2.37
2017;Oliivioljy, 0,5 L;Keskihinta;5.81
2017;Appelsiini , 1 kg;Keskihinta;1.67
2017;Mandariini, 1 kg;Keskihinta;2.59
